2020-04-07 01:33:05,tirtamursitama,Enam cara mudah diskusi online agar tetap produktif saat #wabahcorona #dirumahsaja #bekerjadarirumah #workfromhome… https://t.co/H6XNW3UtrL
2020-04-06 09:32:01,andreputra___,@RizkyVA Potret mahasiswa binus waktu liat universitas lain baru mulai gembar-gembor kuliah online https://t.co/FL5WDH2uoK
2020-04-06 05:07:35,BCBintaro,"Stay dirumah aja, tapi tetap bisa menambah ilmu, jadi ikut online course aja di Binus Center Bintaro...dengan mater… https://t.co/emciSJX2SH"
2020-04-06 05:07:15,BCBintaro,"Stay dirumah aja, tapi tetap bisa menambah ilmu, jadi ikut online course aja di Binus Center Bintaro...dengan mater… https://t.co/iur7tTQho1"
2020-04-06 05:06:47,BCBintaro,"Stay dirumah aja, tapi tetap bisa menambah ilmu, jadi ikut online course aja di Binus Center Bintaro...dengan mater… https://t.co/XtlyjOzRyk"
2020-04-06 04:44:15,xolopoella,@kutisKucis mengingatkan ku dengan online class binus😂
2020-04-06 03:03:04,hotchocolate109,@NFatihaB Brp binus online
2020-04-06 03:02:03,NFatihaB,"tau gini, kmren kuliah daftar binus online aja kalo ga univ. terbuka :""("
2020-04-05 02:27:16,weedeeblue,@saylow Unud ne perlu mencontoh Binus Online Learning ni...
2020-04-04 20:41:00,BinusCenterMDN,Binus Center Medan mempersiapkan kursus online agar memudahkan peserta dapat belajar dari rumah. Sesi tanya jawab j… https://t.co/t8c4Dad8MQ
2020-04-04 08:51:34,anisetuspalma19,Sebutkan hal mustahil di dunia ini : Binus ngasih keringanan biaya dan jatah kuota bagi mahasiswa nya untuk online… https://t.co/lKW0NjuBuA
