tweeted_at,username,tweet,clean_tweet,sentiment
2020-04-11 23:50:16,dizkeyy,@lewhisgy hahh? ohh binus https://t.co/T2o1yM9zW1,hahh ohh binus,neutral
2020-04-11 23:05:23,RiskaAg30711822,@ira_dyahloka Sodara saya di dki dkt sama binus ko rt nya ga peduli y...disana bnyk org ga mampu..pas ditanya ko ga… https://t.co/GhBmZoPICm,sodara dki dkt sama binus ko rt nya ga peduli disana bnyk org ga mampu pas ditanya ko ga,positive
2020-04-11 22:31:04,ranggabrni,@maundythrsday gpp yg penting pernah diajak buat video kampanye sampe direpost di ig official binus 🙂🙂🙂🙂,gpp yg penting pernah diajak buat video kampanye sampe direpost ig official binus,positive
2020-04-11 22:11:35,kikimhrn1,"Pengen soto betawi, rendang, mandhi rice, bubur binus, sama mcd..",pengen soto betawi rendang mandhi rice bubur binus sama mcd,neutral
2020-04-11 20:48:46,Pulser77,@BradMunchen @fly4dat Tesla wants German subsidies and a place on the table when the next EV binus program will be… https://t.co/ySvVxwQaNY,tesla wants german subsidies and place on the table when the next ev binus program will be,positive
2020-04-11 20:14:08,gustirullyy,@putrisykna_ @BINUS_UNIV BENER BANGET WKWKWK,bener banget wkwkwk,positive
2020-04-11 20:04:57,Ken_Alguire,"@AIRMILES question, why did only some of my binus miles show up but not the rest from the same transaction? Is that common?",question why did only some of my binus miles show up but not the rest from the same transaction is that common,negative
2020-04-11 19:11:14,makaronipedess,"top 10 martabak versi acu
1. Martabak 777 SB Kuningan
2. Martabak CS Bandung Pondok Pinang
3. Martabak Salmaa Kunin… https://t.co/9yEkbTHmaU",top 10 martabak versi acu martabak 777 sb kuningan martabak cs bandung pondok pinang martabak salmaa kunin,positive
2020-04-11 18:58:47,tifsgx,@__elang__45 @kegblgnunfaedh Jalanannya mirip binus malang,jalanannya mirip binus malang,negative
2020-04-11 18:40:05,kevinsandry,@collegemenfess SoCSnya Binus tapi mahal bet anjjjj,socsnya binus mahal bet anjjjj,negative
2020-04-11 18:31:41,lupatdr,makazi binus https://t.co/BvG3ROCSSu,makazi binus,neutral
2020-04-11 18:20:12,putrisykna_,@gustirullyy emg bener min mahasiswinya fucekgirl semua?😳😳 @BINUS_UNIV,emg bener min mahasiswinya fucekgirl semua,positive
2020-04-11 18:18:41,eicenar,@collegemenfess Lspr ato Binus,lspr ato binus,neutral
2020-04-11 18:17:27,naomialiati,"@selvixn2 cobain download bumble sell! orang2nya lebi normal menurut w HAHAHA, truus jg mantep2 isinya banyak anak ui/binus/prasmuull",cobain download bumble sell orang2nya lebi normal hahaha truus jg mantep2 isinya banyak anak ui binus prasmuull,positive
2020-04-11 17:38:18,SchubertSalieri,"@rizzzhhhh @collegemenfess aku di binus kemanggisan ka, kurikulum jurusannya udah dikelompokin beda sama IT dari aw… https://t.co/aavaDcf0Qi",aku binus kemanggisan ka kurikulum jurusannya udah dikelompokin beda sama it aw,neutral
2020-04-11 17:34:43,ditnugr,@angieosprmae Binus anggrek? Ambil jurusan apa,binus anggrek ambil jurusan apa,neutral
2020-04-11 17:00:10,ihzaath,"RT @vvellplayedd: UPH, Binus, LSPR.",rt uph binus lspr,neutral
2020-04-11 16:49:27,ceyjii,@collegemenfess binus adaa,binus adaa,neutral
2020-04-11 16:45:09,Jsubiniei_2,@sejunfr BINUS HYEONG BINUS 😭😭😭😭 JINJJA,binus hyeong binus jinjja,neutral
2020-04-11 16:38:10,cestmoizi,@luvicebear @collegemenfess Yuu binus,yuu binus,neutral
2020-04-11 16:35:39,puyenghay,"@collegemenfess Nder, jawabannya ada di sini. https://t.co/NM3x0r9px2",nder jawabannya sini,neutral
2020-04-11 16:28:38,BINUS_UNIV,"My week on Twitter 🎉: 9 Mentions, 1.66K Mention Reach. See yours with https://t.co/3XmgtwcEwk https://t.co/Kn2xRUH7Aa",my week on twitter mentions 66k mention reach see yours with,neutral
2020-04-11 16:21:01,Nighttimewaster,@caratstalk Binus,binus,neutral
2020-04-11 16:15:14,FxxxkingRabits,"@apayahgtw Ospek nya binus enak cuman keliling kampus,games,seminar",ospek nya binus enak cuman keliling kampus games seminar,positive
2020-04-11 16:11:42,pertidaksamaan,"@haezzelnut ah, meluk cewek aja belum pernah masa disamain sama nc? lagipula binus &gt; uph.",ah meluk cewek aja pernah masa disamain sama nc lagipula binus uph,neutral
2020-04-11 16:09:53,haezzelnut,@pertidaksamaan HEH NGAKU LAGI WKWKW. apa sebenernya kamu itu nicholasnya binus ya? ngaku biar aku buat thread,heh ngaku wkwkw apa sebenernya kamu nicholasnya binus ngaku biar aku buat thread,neutral
